,Post_ID,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Total_Engagement,Engagement_Rate,Virality_Score
33,Post_34,YouTube,#Viral,Reel,Australia,3005703,16688,77970,15891,Low,110549,0.0368,0.0627204351195045
34,Post_35,YouTube,#Education,Tweet,UK,936390,368646,92202,2016,Low,462864,0.4943,0.5927722423349245
35,Post_36,TikTok,#Education,Live Stream,Japan,1855796,158156,6423,20518,High,185097,0.0997,0.10320099838559842
36,Post_37,Instagram,#Music,Reel,Germany,48908,205884,37256,14618,Low,257758,5.2703,6.032019301545759
37,Post_38,Instagram,#Dance,Video,India,1367820,10794,7617,36639,Medium,55050,0.0402,0.04581523884721674
38,Post_39,TikTok,#Gaming,Shorts,USA,4499253,469481,89583,41549,High,600613,0.1335,0.1534023536795997
39,Post_40,Twitter,#Comedy,Post,USA,4510477,274631,82143,13932,Low,370706,0.0822,0.10039935909217584
40,Post_41,Twitter,#Education,Reel,India,4380015,355402,41860,42729,High,439991,0.1005,0.11001126708470177
41,Post_42,YouTube,#Fashion,Live Stream,Australia,943395,402996,18661,11999,High,433656,0.4597,0.4794566432936363
42,Post_43,Twitter,#Comedy,Post,Brazil,3961278,49656,93072,23952,Medium,166680,0.0421,0.06557277727036577
43,Post_44,YouTube,#Comedy,Shorts,Brazil,4080112,171609,17994,41339,Medium,230942,0.0566,0.06101205064959001
44,Post_45,Twitter,#Comedy,Shorts,Germany,3934142,380972,42858,26194,Low,450024,0.1144,0.12528322566902772
45,Post_46,Instagram,#Gaming,Tweet,Brazil,272327,274271,56073,17526,High,347870,1.2774,1.483301325245018
46,Post_47,Instagram,#Tech,Reel,Japan,1600237,325368,62818,25686,Medium,413872,0.2586,0.2978871254695398
47,Post_48,Instagram,#Dance,Live Stream,India,2212857,74624,24137,35546,Medium,134307,0.0607,0.07160155400913841
48,Post_49,Twitter,#Gaming,Live Stream,USA,4711157,313821,86074,36395,High,436290,0.0926,0.11087807092822421
49,Post_50,Instagram,#Fashion,Reel,Japan,2747788,422463,21545,40997,Low,485005,0.1765,0.18434828305531575
50,Post_51,YouTube,#Dance,Post,Australia,2081426,225061,67840,28774,Medium,321675,0.1545,0.18713852906613063
51,Post_52,YouTube,#Music,Live Stream,Canada,2258494,159509,25505,8605,Medium,193619,0.0857,0.09702217495375237
52,Post_53,YouTube,#Comedy,Tweet,Japan,1357850,472399,90644,33331,Low,596374,0.4392,0.5059601576020916
53,Post_54,Twitter,#Fitness,Reel,Canada,392337,332566,43169,45161,Medium,420896,1.0728,1.1828224205211335
54,Post_55,Twitter,#Dance,Reel,USA,4006009,491965,60534,31438,High,583937,0.1458,0.16087607391795675
55,Post_56,YouTube,#Fitness,Tweet,Australia,3934991,389693,81891,32967,Medium,504551,0.1282,0.14903261532237302
56,Post_57,Instagram,#Challenge,Live Stream,Australia,2824818,34126,53516,29452,Low,117094,0.0415,0.060396811405194956
57,Post_58,Twitter,#Dance,Video,Australia,197986,184395,9408,7599,Medium,201402,1.0173,1.0647722566242057
58,Post_59,YouTube,#Challenge,Post,Germany,2291491,474568,83894,6150,High,564612,0.2464,0.2830061300698977
59,Post_60,Twitter,#Music,Live Stream,UK,3525573,40967,4121,26381,Low,71469,0.0203,0.021440486411712367
60,Post_61,TikTok,#Music,Reel,USA,866896,122451,79602,25491,Low,227544,0.2625,0.35430547608940405
61,Post_62,YouTube,#Tech,Video,Australia,4104535,331535,60374,13314,Medium,405223,0.0987,0.11343477397561477
62,Post_63,TikTok,#Dance,Tweet,India,2601441,93254,55921,48758,Low,197933,0.0761,0.097582070859958
63,Post_64,Instagram,#Gaming,Shorts,Canada,1142030,212596,72334,18,High,284948,0.2495,0.3128481738658354
64,Post_65,YouTube,#Fashion,Shorts,Canada,2969591,358102,26688,8128,Low,392918,0.1323,0.14130094009579097
65,Post_66,TikTok,#Education,Post,Japan,855465,14117,73654,46422,High,134193,0.1569,0.24296376824300234
66,Post_67,YouTube,#Viral,Video,Brazil,4453459,376054,36502,19620,High,432176,0.097,0.1052390961722113
67,Post_68,Twitter,#Dance,Reel,Japan,1059696,75851,99754,47614,High,223219,0.2106,0.3047789177273482
68,Post_69,Twitter,#Fitness,Tweet,USA,581577,341805,67524,485,High,409814,0.7047,0.8207649202083301
69,Post_70,YouTube,#Fitness,Tweet,Australia,4226427,421149,53769,27804,Medium,502722,0.1189,0.13166937462778844
70,Post_71,Twitter,#Dance,Reel,Japan,485214,50577,92342,43775,Medium,186694,0.3848,0.5750782129122408
71,Post_72,Instagram,#Education,Tweet,Australia,1419701,68719,98115,36515,Low,203349,0.1432,0.21234330327301312
72,Post_73,TikTok,#Fashion,Post,Germany,4378457,136878,89273,41624,Medium,267775,0.0612,0.08154653568597339
73,Post_74,TikTok,#Music,Post,India,3647159,216783,79133,7687,High,303603,0.0832,0.1049408594470381
74,Post_75,YouTube,#Gaming,Video,USA,1750105,125485,942,20317,Low,146744,0.0838,0.08438693678379297
75,Post_76,Instagram,#Dance,Tweet,India,1796369,145118,68421,16720,High,230259,0.1282,0.1662687343190625
76,Post_77,Twitter,#Fitness,Shorts,India,1535141,15408,23087,23147,Medium,61642,0.0402,0.055192975759229934
77,Post_78,Twitter,#Challenge,Video,Australia,612594,132163,29340,40557,Medium,202060,0.3298,0.37773794715586506
78,Post_79,Instagram,#Challenge,Reel,USA,4219632,171996,5043,3436,Medium,180475,0.0428,0.04396544532793381
79,Post_80,Twitter,#Viral,Shorts,Japan,3994554,241425,99422,41307,High,382154,0.0957,0.12055813990748404
80,Post_81,Instagram,#Challenge,Shorts,India,4290853,211176,66264,14337,Medium,291777,0.068,0.08344284924233014
81,Post_82,Instagram,#Dance,Live Stream,Australia,284772,338933,22771,18899,Low,380603,1.3365,1.4164805528633433
82,Post_83,Instagram,#Gaming,Live Stream,Japan,4637078,219517,5831,32657,Low,258005,0.0556,0.05689703731530934
83,Post_84,Instagram,#Comedy,Shorts,Brazil,3315125,62336,79392,42892,High,184620,0.0557,0.07963862599449494
84,Post_85,Twitter,#Fitness,Shorts,Brazil,4357287,106179,4262,12978,Medium,123419,0.0283,0.029302866669099373
85,Post_86,TikTok,#Fitness,Shorts,Canada,907386,52457,77192,32870,High,162519,0.1791,0.26417753855580756
86,Post_87,Twitter,#Gaming,Post,India,1908555,194688,34182,3500,High,232370,0.1218,0.1396616812195614
87,Post_88,Twitter,#Challenge,Post,Japan,3074269,18233,37713,28599,Medium,84545,0.0275,0.039768153014586555
88,Post_89,YouTube,#Dance,Post,Brazil,4067125,190686,12963,11560,High,215209,0.0529,0.0561015459323232
89,Post_90,YouTube,#Fitness,Reel,Japan,1173157,137342,95328,47250,Low,279920,0.2386,0.31986170648941276
90,Post_91,TikTok,#Fitness,Reel,Germany,2141884,23466,66627,40003,High,130096,0.0607,0.0918457768954808
91,Post_92,Twitter,#Comedy,Post,India,4567233,66980,96596,49121,Low,212697,0.0466,0.06771999589248019
92,Post_93,Twitter,#Gaming,Post,UK,506074,69145,31191,43362,Low,143698,0.2839,0.3455798954303126
93,Post_94,YouTube,#Comedy,Tweet,UK,3210080,195970,75414,4473,High,275857,0.0859,0.10942749090365349
94,Post_95,TikTok,#Tech,Video,Germany,128472,444670,64311,7956,Medium,516937,4.0237,4.5243165826016565
95,Post_96,TikTok,#Music,Reel,India,1347102,274212,15298,28342,High,317852,0.236,0.24730866704971116
96,Post_97,TikTok,#Tech,Live Stream,UK,92085,176687,5641,22316,Medium,204644,2.2223,2.283596676983222
97,Post_98,TikTok,#Tech,Post,Australia,3843536,90333,10903,30677,Medium,131913,0.0343,0.03715745084734474
98,Post_99,Instagram,#Viral,Reel,Germany,965073,263310,39207,27324,High,329841,0.3418,0.382404232633179
99,Post_100,YouTube,#Education,Post,Canada,3096420,364521,73308,29082,Low,466911,0.1508,0.17446567326137927
100,Post_101,YouTube,#Gaming,Tweet,Germany,2723916,1349,81918,11870,High,95137,0.0349,0.06500016887451743
101,Post_102,TikTok,#Music,Live Stream,UK,2249678,46464,83075,5710,Medium,135249,0.0601,0.09704677736102678
102,Post_103,Twitter,#Viral,Shorts,Germany,3311289,352538,55203,5369,Medium,413110,0.1248,0.14142921381975418
103,Post_104,Instagram,#Music,Tweet,India,3588997,241125,65026,30917,Medium,337068,0.0939,0.11203520092103728
104,Post_105,Instagram,#Fitness,Post,Japan,13562,11483,33641,30457,Medium,75581,5.573,8.053531927444329
105,Post_106,Twitter,#Fitness,Live Stream,USA,3926751,302919,49216,30399,Low,382534,0.0974,0.10995094927078392
106,Post_107,YouTube,#Music,Tweet,UK,2750317,59766,75524,27938,High,163228,0.0593,0.08680890239197882
107,Post_108,TikTok,#Challenge,Reel,Germany,4655757,383024,45530,48504,Medium,477058,0.1025,0.11224554889784841
108,Post_109,Instagram,#Fitness,Video,USA,4844012,452777,44862,23870,High,521509,0.1077,0.11692188210929287
109,Post_110,Twitter,#Dance,Video,USA,3868789,188191,4660,26605,Medium,219456,0.0567,0.05792923832237943
110,Post_111,Twitter,#Viral,Tweet,Australia,2517364,418305,51641,34605,High,504551,0.2004,0.22094222369113087
111,Post_112,Instagram,#Dance,Video,Brazil,1994041,310266,87995,40217,Medium,438478,0.2199,0.2640231569962704
112,Post_113,TikTok,#Education,Shorts,Australia,1402998,241244,56779,14849,High,312872,0.223,0.26347222162825606
113,Post_114,YouTube,#Fashion,Live Stream,Brazil,702950,17361,62405,10538,Low,90304,0.1285,0.21724020200583255
114,Post_115,Instagram,#Education,Tweet,Canada,1599554,364748,16705,8949,High,390402,0.2441,0.25451282044870005
115,Post_116,TikTok,#Tech,Post,Australia,4600976,443617,98343,18038,High,559998,0.1217,0.14308724931405858
116,Post_117,Twitter,#Viral,Shorts,USA,2495410,213884,16804,17614,Low,248302,0.0995,0.10623745196180187
117,Post_118,TikTok,#Dance,Video,Germany,1838563,289125,77191,27066,High,393382,0.214,0.25594608397971674
118,Post_119,YouTube,#Tech,Shorts,India,2920650,416403,56902,2675,Low,475980,0.163,0.18245322102956535
119,Post_120,TikTok,#Viral,Video,Germany,1772623,361245,30503,13260,Low,405008,0.2285,0.24568732324921883
120,Post_121,Instagram,#Comedy,Shorts,Australia,2484315,101605,80028,36281,High,217914,0.0877,0.11992923602683235
121,Post_122,YouTube,#Comedy,Live Stream,India,4927173,22341,38730,42476,Medium,103547,0.021,0.028875990349841583
122,Post_123,TikTok,#Challenge,Video,UK,3924183,283030,30676,43977,Low,357683,0.0911,0.0989655681195296
123,Post_124,Instagram,#Music,Post,USA,4646060,21362,31562,19778,Medium,72702,0.0156,0.022441380438479056
124,Post_125,YouTube,#Fitness,Video,USA,3901900,20166,30661,25363,Low,76190,0.0195,0.027384351213511366
125,Post_126,Instagram,#Fashion,Video,Japan,962137,319381,69098,38387,Low,426866,0.4437,0.5154816829619898
126,Post_127,TikTok,#Education,Video,Germany,3859007,277223,81798,46985,Medium,406006,0.1052,0.12640661185636615
127,Post_128,Twitter,#Challenge,Shorts,UK,3837223,140163,85932,40674,Medium,266769,0.0695,0.09191569007065786
128,Post_129,Instagram,#Comedy,Post,UK,1029488,449148,87211,35005,High,571364,0.555,0.6397111962451237
129,Post_130,Twitter,#Fashion,Post,Germany,879364,232290,7501,23547,Low,263338,0.2995,0.307994186707666
130,Post_131,TikTok,#Comedy,Live Stream,USA,4828597,131837,43770,9395,Low,185002,0.0383,0.04737856565789193
131,Post_132,YouTube,#Education,Video,India,3487375,107303,83451,45313,High,236067,0.0677,0.0916213484354278
132,Post_133,TikTok,#Dance,Tweet,India,3418884,311286,82479,7832,High,401597,0.1175,0.14158889274979788
133,Post_134,YouTube,#Challenge,Reel,Brazil,1337059,318166,72711,32791,High,423668,0.3169,0.3712468933682059
134,Post_135,TikTok,#Education,Live Stream,Canada,707841,133933,46058,45912,High,225903,0.3191,0.3842119911109981
135,Post_136,TikTok,#Fitness,Shorts,Australia,1851460,345987,13274,43872,Low,403133,0.2177,0.22490737039957656
136,Post_137,Instagram,#Fashion,Tweet,Canada,1438248,223413,84930,42774,Low,351117,0.2441,0.3031792847965024
137,Post_138,Instagram,#Fashion,Live Stream,Brazil,4027409,80497,44156,14597,Medium,139250,0.0346,0.04553945228805915
138,Post_139,Instagram,#Music,Video,India,3488909,443844,19877,22056,Low,485777,0.1392,0.14493183972410859
139,Post_140,TikTok,#Fitness,Video,USA,1089083,150418,45387,25632,Medium,221437,0.2033,0.24499877419810978
140,Post_141,TikTok,#Fashion,Live Stream,Germany,682046,480038,71997,18117,High,570152,0.8359,0.941503945481683
141,Post_142,YouTube,#Tech,Live Stream,Brazil,4849297,86843,16843,14705,Low,118391,0.0244,0.027887341196053777
142,Post_143,Instagram,#Challenge,Tweet,USA,4283565,107901,84854,4738,Low,197493,0.0461,0.06591402254897498
143,Post_144,Twitter,#Comedy,Shorts,India,50082,70708,277,25036,Low,96021,1.9173,1.9228065971806239
144,Post_145,Twitter,#Viral,Post,USA,3940355,82304,68754,15897,Low,166955,0.0424,0.05981922948566817
145,Post_146,Instagram,#Education,Reel,Canada,964498,194879,76029,34998,High,305906,0.3172,0.3959935634910596
146,Post_147,TikTok,#Tech,Shorts,UK,636824,363548,17456,8176,Low,389180,0.6111,0.6385374923055663
147,Post_148,TikTok,#Comedy,Reel,India,4179125,94325,72341,7328,Low,173994,0.0416,0.05894415697065773
148,Post_149,Instagram,#Gaming,Video,Brazil,1292958,95304,3716,44880,Low,143900,0.1113,0.11416921508664628
149,Post_150,Instagram,#Viral,Reel,UK,4103477,75909,5645,4052,Low,85606,0.0209,0.022237482993081235
150,Post_151,Twitter,#Education,Reel,Germany,3529777,68367,38326,879,High,107572,0.0305,0.04133348933941153
151,Post_152,Instagram,#Fashion,Reel,USA,4593170,34210,33344,11022,Low,78576,0.0171,0.024366613907170865
152,Post_153,TikTok,#Challenge,Shorts,Brazil,3251679,498580,96093,9968,Medium,604641,0.1859,0.2154991313718236
153,Post_154,Instagram,#Tech,Shorts,Canada,41081,319140,6541,23057,Low,348738,8.489,8.648255884715562
154,Post_155,Twitter,#Dance,Shorts,Canada,2127698,193956,14856,32442,Medium,241254,0.1134,0.12036952612635816
155,Post_156,YouTube,#Education,Shorts,Australia,4765117,177035,49884,46238,Medium,273157,0.0573,0.06779287895764155
156,Post_157,Twitter,#Fitness,Reel,India,2114283,462542,14404,37153,Low,514099,0.2432,0.24996795603994357
157,Post_158,YouTube,#Fashion,Reel,Canada,4391275,392281,14429,27404,High,434114,0.0989,0.102144138092012
158,Post_159,TikTok,#Gaming,Post,India,1246500,471547,15048,40514,High,527109,0.4229,0.43494344163658244
159,Post_160,Twitter,#Music,Tweet,Germany,4555977,1087,23157,12611,Medium,36855,0.0081,0.013172147269400174
160,Post_161,Twitter,#Gaming,Tweet,India,400424,56569,59897,49341,Medium,165807,0.4141,0.5636625177312049
161,Post_162,Instagram,#Challenge,Video,Brazil,3201846,335416,50986,16715,High,403117,0.1259,0.14182537198853412
162,Post_163,TikTok,#Gaming,Video,Germany,102418,107650,94514,26548,Medium,228712,2.2331,3.155949149563553
163,Post_164,Twitter,#Comedy,Tweet,Australia,4253909,448284,39383,32995,Low,520662,0.1224,0.13165420322813676
164,Post_165,TikTok,#Fitness,Live Stream,Australia,1551922,47511,7404,25497,Low,80412,0.0518,0.056585318076552815
165,Post_166,YouTube,#Challenge,Post,Germany,3587143,430347,96428,42640,Medium,569415,0.1587,0.18561930762169224
166,Post_167,Instagram,#Fashion,Video,USA,2252593,61466,13181,29007,High,103654,0.046,0.0518668929540312
167,Post_168,YouTube,#Challenge,Video,Australia,2547290,382792,78654,30532,Medium,491978,0.1931,0.22401532609165034
168,Post_169,YouTube,#Viral,Reel,USA,2946297,223304,83502,10855,Low,317661,0.1078,0.1361583709992577
169,Post_170,Twitter,#Education,Video,India,4459268,356292,52389,33857,Low,442538,0.0992,0.11098839540480634
170,Post_171,Instagram,#Music,Live Stream,Australia,1630617,435112,71742,49750,High,556604,0.3413,0.38534248079101346
171,Post_172,Instagram,#Education,Live Stream,USA,4709770,389553,55435,16799,Medium,461787,0.098,0.10981895081925444
172,Post_173,Instagram,#Fitness,Tweet,Australia,2275387,271817,72208,27046,High,371071,0.1631,0.19481477216842674
173,Post_174,TikTok,#Tech,Tweet,Brazil,2784320,373955,22997,15361,High,412313,0.1481,0.15634338007125617
174,Post_175,Twitter,#Music,Tweet,USA,3674194,19972,97555,24310,Medium,141837,0.0386,0.0651549700424093
175,Post_176,YouTube,#Music,Post,UK,2126429,36274,51278,44234,Medium,131786,0.062,0.08608987179915248
176,Post_177,YouTube,#Fitness,Shorts,USA,1598712,280260,58128,4485,High,342873,0.2145,0.2508275411706424
177,Post_178,Twitter,#Fashion,Video,Australia,3464211,115302,63150,37858,Medium,216310,0.0624,0.08067060580316845
178,Post_179,Twitter,#Fitness,Reel,UK,1519290,495937,13211,49107,Low,558255,0.3674,0.3761401707376472
179,Post_180,Instagram,#Fitness,Tweet,Canada,4888613,414422,11933,23903,High,450258,0.0921,0.09454440349440629
180,Post_181,Twitter,#Viral,Shorts,USA,3712060,302466,63802,49953,Low,416221,0.1121,0.12931445073624886
181,Post_182,Instagram,#Tech,Reel,UK,4003071,22251,13517,13392,Low,49160,0.0123,0.015657229162310635
182,Post_183,Instagram,#Dance,Video,Germany,681752,197632,98860,19379,High,315871,0.4633,0.6083311820134008
183,Post_184,Instagram,#Gaming,Shorts,Germany,4684548,122401,82864,42106,Low,247371,0.0528,0.070494527967266
184,Post_185,Instagram,#Tech,Video,UK,3916842,292224,72417,38211,High,402852,0.1029,0.12133984470142017
185,Post_186,TikTok,#Dance,Reel,UK,798887,326922,87308,21689,Medium,435919,0.5457,0.6549449421507673
186,Post_187,Twitter,#Gaming,Video,Australia,688077,243607,79071,12078,High,334756,0.4865,0.6014254218641227
187,Post_188,Twitter,#Challenge,Reel,Japan,1520250,214233,80,10917,Medium,225230,0.1482,0.14820588718960698
188,Post_189,TikTok,#Fashion,Post,Australia,496652,106618,64875,44200,High,215693,0.4343,0.5649186955856415
189,Post_190,TikTok,#Education,Reel,India,479620,337321,99486,26524,Medium,463331,0.966,1.1734644093240483
190,Post_191,YouTube,#Education,Reel,USA,4221739,291223,61415,44293,Low,396931,0.094,0.108568056907355
191,Post_192,Twitter,#Education,Live Stream,Brazil,4425196,324343,33641,22289,High,380273,0.0859,0.09353574395348817
192,Post_193,Instagram,#Comedy,Shorts,UK,4236960,259668,86293,16169,Low,362130,0.0855,0.10583602394169404
193,Post_194,TikTok,#Education,Reel,India,2488223,177673,86535,39991,Low,304199,0.1223,0.15703335271798388
194,Post_195,YouTube,#Dance,Live Stream,UK,2809035,359231,78623,27822,Medium,465676,0.1658,0.19376725459098942
195,Post_196,YouTube,#Music,Shorts,Brazil,444252,398838,7767,19133,High,425738,0.9583,0.9758087751996615
196,Post_197,Instagram,#Fashion,Reel,India,907575,42770,5219,47956,Low,95945,0.1057,0.11146627000523372
197,Post_198,TikTok,#Dance,Post,Canada,2440215,199343,53628,10359,Medium,263330,0.1079,0.12988937450183694
198,Post_199,TikTok,#Comedy,Shorts,USA,3982001,131915,64092,22170,Medium,218177,0.0548,0.07088622026965839
199,Post_200,Twitter,#Fashion,Reel,Brazil,3802724,457464,83495,19409,High,560368,0.1474,0.169316258555709
200,Post_201,YouTube,#Dance,Shorts,Australia,3049554,441149,46483,36909,Low,524541,0.172,0.18724836484285898
201,Post_202,YouTube,#Fashion,Video,Germany,3186810,312491,66586,7390,Medium,386467,0.1213,0.1421650490616008
202,Post_203,YouTube,#Gaming,Live Stream,Australia,810296,77866,87591,41350,High,206807,0.2552,0.36332155163051527
203,Post_204,Twitter,#Dance,Post,UK,4459224,957,54290,47674,High,102921,0.0231,0.03525523723410172
204,Post_205,Instagram,#Viral,Post,USA,741152,226355,58251,46227,High,330833,0.4464,0.5249719355813652
205,Post_206,Twitter,#Fashion,Tweet,USA,2945128,368541,66690,3800,Medium,439031,0.1491,0.1717144382179654
206,Post_207,Twitter,#Music,Post,Canada,2302342,153529,52488,41257,High,247274,0.1074,0.13019872807775734
207,Post_208,YouTube,#Fashion,Shorts,Australia,469793,295293,29190,9480,Medium,333963,0.7109,0.7730064092057566
208,Post_209,Twitter,#Comedy,Live Stream,UK,2452099,320043,91765,2987,Low,414795,0.1692,0.20658219753770138
209,Post_210,TikTok,#Tech,Live Stream,UK,2651939,209375,2127,12291,Low,223793,0.0844,0.08519049646315394
210,Post_211,TikTok,#Fitness,Shorts,India,1580449,299597,35471,1908,High,336976,0.2132,0.23565898045428862
211,Post_212,Instagram,#Dance,Tweet,India,4764800,52536,65976,47528,Medium,166040,0.0348,0.04869375419744795
212,Post_213,Twitter,#Comedy,Tweet,Japan,4336145,295452,2342,22411,Medium,320205,0.0738,0.07438565822868008
213,Post_214,Instagram,#Viral,Shorts,Japan,4316287,188239,34891,39029,Medium,262159,0.0607,0.06882072484985359
214,Post_215,Twitter,#Gaming,Tweet,Japan,1516746,272088,48475,36816,Medium,357379,0.2356,0.26758204735664376
215,Post_216,TikTok,#Fitness,Post,USA,4497673,460735,96637,47633,Medium,605005,0.1345,0.1560011143540226
216,Post_217,YouTube,#Dance,Live Stream,UK,1200639,381211,2574,40242,Medium,424027,0.3532,0.3553116298904167
217,Post_218,YouTube,#Viral,Tweet,USA,3115115,81186,14964,1885,Low,98035,0.0315,0.03627442325564225
218,Post_219,Twitter,#Dance,Tweet,India,89968,450376,40577,19844,Medium,510797,5.6775,6.128556820202739
219,Post_220,TikTok,#Dance,Tweet,Japan,2177828,478703,86167,17109,Medium,581979,0.2672,0.3067946596333595
220,Post_221,Twitter,#Viral,Shorts,India,306511,404600,32664,35337,Medium,472601,1.5419,1.6484400233596836
221,Post_222,Instagram,#Music,Reel,UK,4422912,199110,95413,32057,Low,326580,0.0738,0.09541067061700527
222,Post_223,Instagram,#Tech,Post,UK,4326885,300734,1870,1496,Medium,304100,0.0703,0.0707136889471294
223,Post_224,YouTube,#Music,Live Stream,Germany,4732360,84552,21664,36363,Medium,142579,0.0301,0.03470636215334421
224,Post_225,YouTube,#Gaming,Video,Japan,2510808,348707,17968,46925,High,413600,0.1647,0.17188411061299788
225,Post_226,Instagram,#Education,Video,USA,2710672,252420,23167,5670,Low,281257,0.1038,0.11230573082984588
226,Post_227,TikTok,#Fitness,Shorts,Australia,4096796,365062,58371,48138,Medium,471571,0.1151,0.1293552327233282
227,Post_228,YouTube,#Gaming,Live Stream,UK,940184,131729,1559,12135,Low,145423,0.1547,0.15633322838933655
228,Post_229,Twitter,#Viral,Shorts,USA,2184148,326178,46185,1902,High,374265,0.1714,0.192500691345092
229,Post_230,Instagram,#Challenge,Shorts,Australia,1498512,205870,16834,34865,Medium,257569,0.1719,0.1831169853828331
230,Post_231,Instagram,#Dance,Video,Germany,4300552,428951,18627,12148,Low,459726,0.1069,0.11123060481538184
231,Post_232,YouTube,#Challenge,Reel,Japan,3267055,133930,81976,22080,Low,237986,0.0728,0.09793590863943215
232,Post_233,TikTok,#Fitness,Post,Canada,2095875,78244,43598,16006,Low,137848,0.0658,0.08657291107532654
233,Post_234,YouTube,#Education,Shorts,USA,1465227,158579,8809,33511,High,200899,0.1371,0.14312321572015804
234,Post_235,YouTube,#Viral,Reel,Japan,1715566,326676,69635,19235,Low,415546,0.2422,0.28281103729031704
235,Post_236,Instagram,#Fitness,Reel,Brazil,4708687,133736,49028,3765,Medium,186529,0.0396,0.05002604760095543
236,Post_237,YouTube,#Challenge,Tweet,UK,1091635,198291,5604,31314,Medium,235209,0.2155,0.22059846010800313
237,Post_238,TikTok,#Dance,Reel,UK,1111002,266261,22269,39363,Low,327893,0.2951,0.315176750356885
238,Post_239,YouTube,#Comedy,Post,Japan,869375,123390,59716,46989,Low,230095,0.2647,0.3333555715312725
